const,no_of_adults,no_of_weekend_nights,type_of_meal_plan,required_car_parking_space,lead_time,arrival_month,repeated_guest,avg_price_per_room,no_of_special_requests,total_guests,booking_duration,previous_cancel_rate,booking_day,holiday,long_weekend,arrival_day,tourism_season,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 3,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,target
1.0,2,0,1,0,59,10,0,72.25,2,2,3,0.0,3,0,0,6,3,0,0,0,0,0,0,0,0,0,1,0
1.0,1,0,1,0,6,9,0,174.0,1,3,1,0.0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0
1.0,1,2,1,0,245,7,0,110.0,0,1,6,0.0,4,0,0,4,4,0,0,0,0,0,0,0,0,1,0,1
1.0,1,2,1,0,69,6,0,120.0,0,1,6,0.0,2,1,0,1,4,0,0,0,0,0,0,0,0,1,0,1
1.0,2,0,1,0,43,10,0,85.0,0,2,1,0.0,3,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0
1.0,2,2,1,0,198,8,0,72.25,0,2,5,0.0,3,0,0,5,4,0,0,0,0,0,0,0,0,1,0,0
1.0,2,2,0,0,110,6,0,109.65,1,2,4,0.0,1,0,1,6,4,0,0,0,0,0,0,0,0,0,1,0
1.0,2,0,1,0,37,11,0,60.0,0,2,3,0.0,3,0,0,5,3,0,0,1,0,0,0,0,0,1,0,0
1.0,2,0,1,0,132,5,0,105.3,0,2,2,0.0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,1,0
1.0,2,2,1,0,288,12,0,67.26,0,2,7,0.0,4,1,0,5,1,1,0,0,0,0,0,0,0,0,1,1
1.0,2,0,1,0,93,3,0,60.0,1,2,2,0.0,4,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0
1.0,1,0,2,0,273,7,0,87.0,0,1,2,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0
1.0,2,2,1,1,47,12,0,115.2,1,2,2,0.0,4,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0
1.0,1,2,1,0,116,2,0,60.0,0,1,3,0.0,5,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1
1.0,2,0,1,0,9,1,0,72.8,0,2,2,0.0,3,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0
1.0,2,3,1,0,0,8,0,106.84,2,2,12,0.0,5,1,0,5,4,0,0,0,0,0,0,0,0,0,1,0
1.0,2,0,1,0,0,8,0,148.67,0,2,3,0.0,6,1,0,6,4,0,0,0,0,0,0,0,0,0,1,1
1.0,1,4,1,0,8,1,0,81.7,0,1,10,0.0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0
1.0,2,1,0,1,7,8,0,85.0,0,2,2,0.0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,1,0
1.0,1,0,1,0,71,6,0,120.0,0,1,3,0.0,2,0,0,3,4,0,0,0,0,0,0,0,0,1,0,0
1.0,2,0,1,0,33,3,0,182.85,1,4,3,0.0,5,0,0,3,1,0,0,0,0,0,1,0,0,0,1,0
1.0,1,0,1,0,4,9,0,149.0,1,1,3,0.0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,1,0
1.0,2,1,1,0,86,5,0,65.0,1,2,3,0.0,4,1,0,6,2,0,0,0,0,0,0,0,0,1,0,0
1.0,1,1,1,0,82,4,0,76.5,0,1,3,0.0,4,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0
1.0,2,0,1,0,3,5,0,156.0,0,2,1,0.0,3,0,0,6,2,0,0,1,0,0,0,0,0,0,1,1
1.0,2,0,1,0,32,10,0,144.0,1,2,2,0.0,2,0,0,6,3,0,0,1,0,0,0,0,0,0,1,1
1.0,2,2,0,0,80,3,0,73.1,0,2,10,0.0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,1,1
1.0,2,1,1,0,114,5,0,107.95,0,2,4,0.0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,1,1
1.0,1,0,1,0,15,8,0,124.0,1,1,1,0.0,3,0,0,4,4,0,0,0,0,0,0,0,0,0,1,0
1.0,2,0,0,0,0,10,0,120.0,0,2,1,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
1.0,2,0,1,0,3,8,0,140.0,3,2,1,0.0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0
1.0,1,1,1,0,33,9,0,85.5,1,1,2,0.0,5,1,1,3,3,0,0,0,0,0,0,0,0,0,1,0
1.0,1,1,1,0,83,10,0,132.3,0,1,4,0.0,6,0,0,5,3,0,0,1,0,0,0,0,0,0,1,1
1.0,2,0,0,0,121,12,0,79.2,1,2,2,0.0,3,0,0,5,1,0,0,0,0,0,0,0,0,0,1,1
1.0,2,0,2,0,256,6,0,115.0,1,2,2,0.0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,0,1
1.0,1,1,1,0,0,10,0,96.0,0,1,1,0.0,3,1,1,3,3,0,0,0,0,0,0,0,0,1,0,0
1.0,1,0,1,0,6,5,0,90.0,0,1,1,0.0,4,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0
1.0,2,0,1,0,21,8,0,140.0,1,3,1,0.0,3,0,0,3,4,0,0,0,0,0,0,0,0,0,1,0
1.0,2,0,0,0,0,3,0,89.0,0,2,1,0.0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0
1.0,3,1,1,0,116,8,0,150.3,0,3,6,0.0,5,1,0,2,4,0,0,1,0,0,0,0,0,0,1,1
1.0,1,2,1,0,115,2,0,76.0,0,1,4,0.0,5,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
1.0,3,0,1,0,87,8,0,150.3,0,3,2,0.0,3,0,0,6,4,0,0,1,0,0,0,0,0,0,1,1
1.0,3,1,1,0,12,6,0,131.0,0,3,4,0.0,4,1,0,2,4,0,0,1,0,0,0,0,0,0,1,0
1.0,2,0,0,0,0,12,0,88.0,1,2,1,0.0,4,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0
1.0,1,0,2,0,256,6,0,90.0,0,1,2,0.0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,0,0
1.0,2,0,1,1,147,3,0,174.0,1,4,3,0.0,5,0,0,5,1,0,0,0,0,1,0,0,0,0,1,0
1.0,1,0,1,0,7,3,0,56.0,0,1,2,0.0,4,0,0,4,1,0,0,1,0,0,0,0,0,1,0,0
1.0,1,0,1,0,32,11,0,73.0,0,1,2,0.0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
1.0,2,0,0,0,45,3,0,67.5,0,2,1,0.0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1
1.0,2,0,1,0,270,4,0,62.8,0,2,4,0.0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,1
1.0,2,1,1,0,45,5,0,126.9,2,2,2,0.0,4,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0
1.0,2,2,1,0,16,5,0,111.35,2,2,4,0.0,6,1,1,1,2,0,0,1,0,0,0,0,0,0,1,0
1.0,2,0,1,0,188,7,0,86.75,1,2,2,0.0,6,0,0,5,4,1,0,0,0,0,0,0,0,0,1,1
1.0,3,0,1,0,48,9,0,142.2,2,3,1,0.0,0,0,0,6,3,0,0,1,0,0,0,0,0,0,1,0
1.0,2,1,1,0,22,9,0,139.0,0,2,4,0.0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,1,1
1.0,3,2,1,0,128,10,0,123.3,1,3,3,0.0,5,0,1,0,3,0,0,1,0,0,0,0,0,0,1,1
1.0,1,0,1,0,14,10,0,100.0,0,1,2,0.0,6,0,0,6,3,0,0,0,0,0,0,0,0,1,0,0
1.0,2,0,1,0,314,10,0,75.0,0,2,3,0.0,5,0,0,4,3,0,0,0,0,0,0,0,0,1,0,1
1.0,2,1,2,0,247,6,0,115.0,0,2,2,0.0,0,0,1,2,4,0,0,0,0,0,0,0,0,1,0,1
1.0,1,1,1,0,20,1,0,80.0,0,1,2,0.0,4,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0
1.0,2,2,0,0,117,11,0,79.2,0,2,2,0.0,3,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0
1.0,2,1,2,0,301,7,0,115.0,1,2,2,0.0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,1
1.0,2,0,0,0,72,10,0,117.0,1,2,2,0.0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,1,1
1.0,2,1,1,0,53,3,0,85.85,2,2,5,0.0,5,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0
1.0,2,2,1,0,6,4,0,95.0,0,2,4,0.0,0,1,1,6,2,0,0,0,0,0,0,0,0,1,0,0
1.0,2,1,1,0,24,1,0,87.3,1,2,3,0.0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1.0,2,1,0,0,82,3,0,72.25,1,2,6,0.0,5,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0
1.0,3,0,0,0,36,12,0,55.09,1,3,2,0.0,5,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0
1.0,2,0,0,0,1,8,0,95.65,0,2,2,0.0,2,0,0,3,4,0,0,1,0,0,0,0,0,0,1,0
1.0,2,2,1,0,99,12,0,150.67,1,2,3,0.0,6,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1.0,3,1,1,0,48,4,0,137.7,1,3,3,0.0,3,0,0,2,2,0,0,1,0,0,0,0,0,0,1,1
1.0,1,0,1,0,188,6,0,130.0,0,1,2,0.0,5,0,0,4,4,0,0,0,0,0,0,0,0,1,0,1
1.0,2,0,1,0,49,11,0,75.0,0,2,2,0.0,6,0,0,6,3,0,0,0,0,0,0,0,0,1,0,0
1.0,2,0,1,0,279,10,0,110.0,0,2,3,0.0,5,0,0,4,3,0,0,0,0,0,0,0,0,1,0,1
1.0,2,2,0,0,52,3,0,51.0,0,2,4,0.0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
1.0,2,2,1,0,7,2,0,87.0,0,2,4,0.0,2,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0
1.0,1,1,1,0,37,6,0,94.5,0,1,3,0.0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0
1.0,2,0,1,0,0,10,0,216.0,0,4,1,0.0,5,0,0,5,3,0,0,0,0,1,0,0,0,0,1,1
1.0,2,1,0,0,52,4,0,85.5,0,2,2,0.0,6,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0
1.0,2,0,1,0,1,9,0,170.0,2,2,2,0.0,2,0,0,3,3,0,0,0,1,0,0,0,0,1,0,0
1.0,2,1,1,0,233,10,0,90.0,0,2,3,0.0,4,0,0,6,3,0,0,0,0,0,0,0,0,1,0,1
1.0,2,1,1,0,309,5,0,65.0,0,2,3,0.0,5,0,0,6,2,0,0,0,0,0,0,0,0,1,0,0
1.0,1,1,1,0,280,9,0,100.0,0,1,3,0.0,2,1,0,2,3,0,0,0,0,0,0,0,0,1,0,1
1.0,1,0,1,0,8,3,0,56.0,0,1,2,0.0,2,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0
1.0,2,0,1,0,271,9,0,101.33,1,2,3,0.0,6,1,0,4,3,0,0,0,0,0,0,0,0,0,1,1
1.0,2,2,1,0,99,10,0,65.0,0,2,4,0.0,6,1,1,0,3,0,0,0,0,0,0,0,0,1,0,1
1.0,2,0,0,0,17,7,0,139.0,1,2,1,0.0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1
1.0,2,2,1,0,88,7,0,127.8,1,2,7,0.0,6,0,0,3,4,0,0,1,0,0,0,0,0,0,1,0
1.0,3,0,1,0,203,8,0,137.7,1,3,1,0.0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,1
1.0,2,0,2,0,55,4,0,104.0,0,2,1,0.0,5,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0
1.0,1,0,1,0,152,1,0,71.0,0,1,1,0.0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0
1.0,1,2,1,0,1,2,0,60.0,0,1,3,0.0,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1
1.0,2,2,1,0,9,1,0,66.0,0,2,5,0.0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0
1.0,2,2,0,0,18,11,0,74.8,0,2,4,0.0,2,1,1,6,3,0,0,0,0,0,0,0,0,0,1,1
1.0,1,0,2,0,296,9,0,96.0,0,1,4,0.0,2,1,0,4,3,0,0,0,0,0,0,0,0,1,0,0
1.0,2,0,1,0,178,7,0,102.3,1,2,3,0.0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,1,1
1.0,1,0,1,0,12,8,0,0.0,0,1,3,0.0,0,0,0,5,4,0,0,0,0,0,0,1,0,0,0,0
1.0,1,0,0,0,7,11,0,78.0,1,1,2,0.0,4,1,0,4,3,0,0,0,0,0,0,0,0,0,1,1
1.0,2,0,2,0,39,8,0,101.5,0,2,2,0.0,3,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0
1.0,1,0,1,0,83,12,0,0.0,1,1,0,0.0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0
1.0,1,0,1,0,1,12,1,75.0,0,1,1,0.0,3,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0
1.0,2,2,1,0,142,8,0,95.79,1,2,5,0.0,6,1,1,1,4,1,0,0,0,0,0,0,0,0,1,0
1.0,1,2,1,0,124,11,0,146.03,3,1,4,0.0,3,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0
1.0,2,0,1,0,69,12,0,60.0,0,2,3,0.0,0,0,0,6,1,0,0,1,0,0,0,0,0,1,0,0
1.0,1,0,1,0,4,1,1,66.0,0,1,2,1.0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0
1.0,2,2,1,0,32,3,0,85.0,0,2,4,0.0,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
1.0,2,0,2,0,88,5,0,117.0,1,2,3,0.0,6,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0
1.0,2,0,0,0,0,5,0,88.56,0,2,1,0.0,6,0,0,6,2,0,0,0,0,0,0,0,0,0,1,1
1.0,2,0,1,0,27,9,0,108.0,0,2,2,0.0,6,0,0,5,3,0,0,0,0,0,0,0,0,1,0,0
1.0,3,2,1,0,243,10,0,116.45,2,3,5,0.0,3,1,1,1,3,0,0,0,0,0,0,0,0,0,1,1
1.0,1,0,1,0,7,12,1,88.0,0,1,1,0.0,3,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0
1.0,1,0,2,0,74,9,0,87.0,0,1,2,0.0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
1.0,2,1,0,0,13,5,0,105.11,2,3,3,0.0,3,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0
1.0,3,2,1,0,39,1,0,88.0,1,3,3,0.0,5,0,1,2,1,0,0,0,0,1,0,0,0,1,0,0
1.0,2,2,0,0,9,8,0,148.0,2,2,3,0.0,6,1,1,1,4,0,0,0,0,0,0,0,0,0,1,0
1.0,2,0,1,0,12,2,0,93.0,1,2,2,0.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,2,2,1,0,244,10,0,85.85,0,2,5,0.0,2,1,1,1,3,0,0,0,0,0,0,0,0,0,1,1
1.0,1,0,1,0,9,11,0,65.0,0,1,1,0.0,3,0,0,5,3,0,0,0,0,0,0,0,1,0,0,0
1.0,2,2,1,0,18,10,0,107.65,1,2,5,0.0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0
1.0,1,0,1,0,166,11,0,110.0,0,1,3,0.0,5,1,0,3,3,0,0,0,0,0,0,0,0,1,0,1
1.0,3,0,1,0,2,4,0,150.33,0,3,3,0.0,2,0,0,4,2,0,0,1,0,0,0,0,0,0,1,0
1.0,1,2,1,0,2,8,1,65.0,0,1,3,0.06818182,6,0,1,1,4,0,0,0,0,0,0,0,1,0,0,0
1.0,2,0,1,0,32,11,0,96.3,3,2,1,0.0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0
1.0,2,0,1,0,56,6,0,120.0,0,2,1,0.0,4,0,0,4,4,0,0,0,0,0,0,0,0,1,0,0
1.0,2,1,0,0,54,9,0,125.1,1,2,1,0.0,3,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0
1.0,2,2,1,0,94,9,0,102.68,0,3,4,0.0,4,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0
1.0,1,0,1,0,3,3,0,98.33,1,1,3,0.0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0
1.0,2,1,1,0,216,8,0,177.3,0,4,2,0.0,1,0,1,0,4,0,0,0,0,1,0,0,0,0,1,1
1.0,3,2,1,0,84,6,0,103.72,2,3,3,0.0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0
1.0,2,2,1,0,12,1,0,82.0,0,2,3,0.0,3,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
1.0,2,2,1,0,275,10,0,106.2,0,2,3,0.0,5,0,1,0,3,0,0,0,0,0,0,0,0,0,1,1
1.0,1,2,2,0,220,9,0,128.0,0,1,3,0.0,4,0,1,0,3,0,0,0,0,0,0,0,0,1,0,1
1.0,2,0,1,0,66,10,0,135.0,1,3,3,0.0,2,0,0,5,3,0,0,0,0,0,0,0,0,0,1,1
1.0,2,0,0,0,60,10,0,80.1,2,2,1,0.0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,1,0
1.0,1,0,1,0,74,5,0,126.9,0,1,3,0.0,6,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0
1.0,2,2,1,0,47,8,0,140.53,2,2,7,0.0,6,0,0,4,4,0,0,1,0,0,0,0,0,0,1,0
1.0,1,0,1,0,6,5,0,110.0,0,1,1,0.0,4,0,0,3,2,0,0,1,0,0,0,0,1,0,0,0
1.0,1,0,1,0,37,10,0,95.0,0,1,3,0.0,3,0,0,5,3,0,0,0,0,0,0,0,0,1,0,0
1.0,2,2,1,0,41,11,0,93.93,2,2,4,0.0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0
1.0,2,1,2,0,418,9,0,107.0,0,2,3,0.0,4,0,0,2,3,0,0,0,0,0,0,0,0,1,0,1
1.0,2,2,0,0,89,4,0,79.5,0,2,3,0.0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0
1.0,2,0,1,0,130,9,0,139.5,2,2,3,0.0,1,0,0,5,3,0,0,1,0,0,0,0,0,0,1,0
1.0,2,1,1,0,240,10,0,90.95,2,2,4,0.0,3,0,0,5,3,0,0,0,0,0,0,0,0,0,1,0
1.0,2,2,1,0,189,7,0,103.7,1,2,5,0.0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,1
1.0,1,0,1,0,14,11,0,101.0,1,1,3,0.0,6,0,0,6,3,0,0,0,0,0,0,0,0,0,1,0
1.0,2,2,0,0,1,9,0,91.2,0,2,3,0.0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,1,0
1.0,2,2,1,0,9,3,0,154.4,2,3,5,0.0,4,1,1,6,1,0,0,0,0,0,0,0,0,0,1,0
1.0,2,0,1,1,280,8,0,198.9,2,4,1,0.0,6,0,0,6,4,1,0,0,0,0,0,0,0,0,1,1
1.0,2,1,1,0,29,12,0,183.67,1,4,3,0.0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1.0,2,1,1,0,141,9,0,90.0,0,2,1,0.0,1,0,1,2,3,0,0,0,0,0,0,0,0,1,0,0
1.0,2,2,1,0,30,3,0,85.7,0,2,5,0.0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,2,1,1,0,25,10,0,85.0,0,2,3,0.0,5,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0
1.0,2,1,0,0,87,3,0,62.18,0,2,4,0.0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,1,1
1.0,2,0,1,0,185,5,0,81.77,2,2,2,0.0,3,0,0,6,2,0,0,0,0,0,0,0,0,0,1,1
1.0,4,0,1,0,18,12,0,199.43,2,4,2,0.0,2,0,0,6,1,0,0,0,0,0,1,0,0,0,1,0
1.0,2,0,0,1,32,5,0,125.1,1,2,2,0.0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0
1.0,1,1,1,0,54,10,0,65.0,0,1,1,0.0,5,1,1,3,3,0,0,0,0,0,0,0,1,0,0,0
1.0,1,1,1,0,118,6,0,110.0,0,1,4,0.0,3,0,0,2,4,0,0,0,0,0,0,0,0,1,0,0
1.0,3,0,1,0,55,6,0,159.3,0,3,2,0.0,6,0,0,5,4,0,0,1,0,0,0,0,0,0,1,1
1.0,2,1,1,0,286,10,0,90.0,0,2,1,0.0,2,0,1,1,3,0,0,0,0,0,0,0,0,1,0,1
1.0,2,1,1,0,157,7,0,72.25,1,2,4,0.0,2,0,0,5,4,0,0,0,0,0,0,0,0,1,0,0
1.0,2,0,1,0,1,12,0,77.25,0,2,1,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
1.0,3,2,1,0,6,5,0,197.12,0,3,6,0.0,0,1,0,6,2,0,0,0,0,0,1,0,0,0,1,1
1.0,2,2,1,0,197,8,0,97.02,1,2,7,0.0,2,0,0,3,4,0,0,0,0,0,0,0,0,0,1,0
1.0,3,0,1,0,67,7,0,142.2,1,3,2,0.0,0,0,0,4,4,0,0,1,0,0,0,0,0,0,1,1
1.0,2,1,1,0,118,12,0,110.8,2,2,5,0.0,4,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0
1.0,2,2,1,0,78,10,0,132.3,0,2,4,0.0,5,0,1,6,3,0,0,1,0,0,0,0,0,0,1,1
1.0,2,0,2,0,39,8,0,101.5,0,2,2,0.0,3,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0
1.0,1,0,1,0,55,7,0,79.0,0,1,1,0.0,6,0,0,5,4,0,0,0,0,0,0,0,1,0,0,0
1.0,1,1,0,0,9,4,0,105.0,0,1,1,0.0,6,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0
1.0,2,0,2,0,34,9,0,224.67,0,2,3,0.0,6,0,0,5,3,0,0,0,0,0,0,0,0,1,0,1
1.0,2,2,1,0,50,4,0,101.31,0,2,5,0.0,5,1,1,6,2,0,0,0,0,0,0,0,0,0,1,1
1.0,2,0,0,0,60,6,0,116.1,0,2,1,0.0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,1,1
1.0,2,0,1,0,59,11,0,71.1,2,2,3,0.0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0
1.0,2,2,1,0,90,8,0,76.5,0,2,5,0.0,3,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0
1.0,2,1,0,0,120,6,0,85.5,1,2,3,0.0,1,1,0,2,4,0,0,0,0,0,0,0,0,0,1,0
1.0,2,2,1,0,276,5,0,61.0,0,2,5,0.0,3,0,0,6,2,0,0,0,0,0,0,0,0,1,0,1
1.0,1,2,1,0,16,11,0,163.17,2,1,3,0.0,6,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0
